rank,feature_id,token,active_mean_base,active_mean_chat,active_mean_diff,link,explanation,explanation_score
1,74359,newline,0.0,10.5,10.5,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/74359,phrases related to resume keywords and job applications,
2,11850,newline,0.0,7.34375,7.34375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/11850,"structured data representations, particularly in tables and mathematical matrices",
3,99377,newline,0.0,6.78125,6.78125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/99377,words and phrases related to familial relationships and sentiments,
1,71951,endheader,0.0,6.625,6.625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/71951,references to unit testing in programming,
2,130135,endheader,0.0,6.4375,6.4375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/130135,references to software features or client libraries in technical documentation,
1,130135,asst,0.0,6.4375,6.4375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/130135,references to software features or client libraries in technical documentation,
4,38364,newline,0.0,6.40625,6.40625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/38364,queries related to hotel amenities and services,
5,81995,newline,0.0,6.3984375,6.3984375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/81995,elements related to early childhood education and development,
6,74156,newline,0.0,6.375,6.375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/74156,expressions of skepticism or doubt regarding statements or claims,
7,16055,newline,0.0,5.96875,5.96875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/16055,monetary amounts and financial penalties,
3,81995,endheader,0.0,5.96875,5.96875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/81995,elements related to early childhood education and development,
4,16055,endheader,0.0,5.96875,5.96875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/16055,monetary amounts and financial penalties,
2,16055,asst,0.0,5.96875,5.96875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/16055,monetary amounts and financial penalties,
8,108004,newline,0.0,5.65625,5.65625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/108004,statements or dialogue that relate to brands or advertising,
3,69480,asst,0.0,5.5,5.5,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/69480,references to sharing content and social media interactions,
5,12636,endheader,0.0,5.5,5.5,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/12636,instances of emotional connections with children,
6,69480,endheader,0.0,5.5,5.5,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/69480,references to sharing content and social media interactions,
9,69480,newline,0.0,5.5,5.5,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/69480,references to sharing content and social media interactions,
7,67524,endheader,0.0,5.4375,5.4375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/67524,terms and structures related to dual or multiple systems in programming or software contexts,
4,67524,asst,0.0,5.4375,5.4375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/67524,terms and structures related to dual or multiple systems in programming or software contexts,
10,67524,newline,0.0,5.4375,5.4375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/67524,terms and structures related to dual or multiple systems in programming or software contexts,
8,79572,endheader,0.0,5.40625,5.40625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/79572,elements related to car specifications and performance,
5,50001,asst,0.0,5.375,5.375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/50001,technical terms and structures related to specifications or criteria,
12,50001,newline,0.0,5.375,5.375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/50001,technical terms and structures related to specifications or criteria,
11,1521,newline,0.0,5.375,5.375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/1521,information related to scheduling and appointments,
9,50001,endheader,0.0,5.375,5.375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/50001,technical terms and structures related to specifications or criteria,
6,21109,asst,0.0,5.34375,5.34375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/21109,instances of actions or responses related to perseverance and struggle,
13,21109,newline,0.0,5.34375,5.34375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/21109,instances of actions or responses related to perseverance and struggle,
10,21109,endheader,0.0,5.34375,5.34375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/21109,instances of actions or responses related to perseverance and struggle,
15,17188,newline,0.0,5.3125,5.3125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/17188,emotional expressions of support and comfort,
14,19710,newline,0.0,5.3125,5.3125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/19710,references to transactions and inquiries related to buying and selling vehicles,
11,109220,endheader,0.0,5.3125,5.3125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/109220,"punctuation marks, particularly periods and commas",
16,116706,newline,0.0,5.2421875,5.2421875,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/116706,references to notable music releases,
17,104078,newline,0.0,5.15625,5.15625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/104078,references to contracts or formal agreements,
13,111276,endheader,0.0,5.125,5.125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/111276,mentions of podcasts or related audio content,
12,24661,endheader,0.0,5.125,5.125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/24661,references to version changes and dependencies in software,
18,24661,newline,0.0,5.125,5.125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/24661,references to version changes and dependencies in software,
7,24661,asst,0.0,5.125,5.125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/24661,references to version changes and dependencies in software,
19,119151,newline,0.0,5.125,5.125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/119151,"references to cooking, food preparation, and kitchen tools",
20,82380,newline,0.0,5.09375,5.09375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/82380,references to online learning platforms and software development topics,
21,70570,newline,0.0,5.09375,5.09375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/70570,technical references to software versions and deployments,
8,82380,asst,0.0,5.09375,5.09375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/82380,references to online learning platforms and software development topics,
15,27001,endheader,0.0,5.09375,5.09375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/27001,instances of question and answer formats,
14,82380,endheader,0.0,5.09375,5.09375,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/82380,references to online learning platforms and software development topics,
17,33393,endheader,0.0,5.0625,5.0625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/33393,statements involving logical reasoning and deductions,
16,61451,endheader,0.0,5.0625,5.0625,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/61451,mathematical symbols and notations,
18,75325,endheader,0.0,5.041666507720947,5.041666507720947,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/75325,mathematical proofs and logical reasoning,
9,31319,asst,0.0,5.03125,5.03125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/31319,keywords and terms related to programming errors and server issues,
19,31319,endheader,0.0,5.03125,5.03125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/31319,keywords and terms related to programming errors and server issues,
22,31319,newline,0.0,5.03125,5.03125,https://www.neuronpedia.org/llama3.1-8b/15-llamascope-res-131k/31319,keywords and terms related to programming errors and server issues,
